word_us,word_length,n_phon,nonword,n_phon_nw,
astrology,9,9,astronoby,9,
astronaut,9,8,astrunaul,8,
astronautical,13,12,astrodervical,13,
astronomical,12,12,astrobecical,12,
astronomy,9,9,asphonogy,8,
asylum,6,6,asulym,6,
ate,3,2,ave,2,
atheism,7,7,atarics,7,
atheist,7,6,athoise,5,
athlete,7,5,arelene,5,
athletic,8,8,athlutin,7,
atlas,5,5,amras,5,
atmosphere,10,8,atmisphede,8,
atmospheric,11,10,atmemsterid,11,
atom,4,4,adoy,3,
atomic,6,6,atimid,6,
atrium,6,6,atroim,6,
atrocious,9,7,atrupious,8,
attach,6,4,artius,5,
attachment,10,8,attochmint,8,
attack,6,4,artine,5,
attain,6,4,artope,5,
attainability,13,11,attainobalory,11,
attempt,7,6,allempt,6,
attend,6,5,anpern,6,
attendance,10,8,attindarce,8,
attention,9,7,attuntive,8,
attic,5,4,allic,4,
attire,6,5,artade,5,
attitude,8,7,attutide,6,
attorney,8,6,attonrey,6,
attract,7,6,asplart,7,
attraction,10,8,attructive,8,
attribute,9,8,attrubate,7,
attribution,11,10,atthisetive,8,
attributive,11,10,attrinutize,10,
auburn,6,5,awlurn,5,
auction,7,5,alflion,7,
auctioneer,10,7,auctaineer,7,
audibility,10,9,audicarity,9,
audible,7,6,audople,6,
audibly,7,6,audoply,6,
audience,8,6,auliance,6,
audio,5,4,aumia,4,
audiovisual,11,10,audiocadeal,10,
audit,5,4,avrit,5,
audition,8,6,audotain,6,
auditor,7,6,audotar,5,
auditorium,10,9,audateriur,8,
auditory,8,7,auritagy,7,
August,6,5,Aldust,6,
aura,4,3,aipa,3,
Australian,10,9,Austromion,9,
Austrian,8,7,Ausflian,7,
authentic,9,7,authintid,7,
authenticity,12,10,authentibity,10,
author,6,4,awplor,6,
authoritarian,13,11,authoronalion,11,
authoritative,13,10,authorimation,9,
authority,9,7,ausparify,8,
authorization,13,10,authorimatize,11,
authorize,9,6,authomaze,6,
auto,4,3,aplo,4,
autobiography,13,11,autobiagrotry,12,
autograph,9,7,autugriph,7,
automatic,9,8,auromanid,8,
automation,10,8,autanotive,8,
automobile,10,8,autimabine,8,
automotive,10,8,autamition,8,
autonomous,10,8,autanorous,8,
autonomy,8,7,autinapy,7,
autopsy,7,6,autippy,5,
autumn,6,4,awturp,5,
auxiliary,9,8,auxidiogy,9,
avail,5,4,avold,5,
available,9,8,aventably,9,
avalanche,9,7,avomanche,7,
avenge,6,5,aminge,5,
avenue,6,6,avenae,5,
average,7,6,averade,6,
aversion,8,7,avorsoon,7,
aviation,8,7,amiateur,7,
aviator,7,7,amiatal,7,
avid,4,4,avud,4,
avocado,7,7,avocida,7,
avoid,5,4,avarm,5,
await,5,4,awope,4,
awake,5,4,awape,4,
awaken,6,6,awoker,6,
award,5,5,alord,5,
aware,5,4,awade,4,
awareness,9,7,aworeless,7,
away,4,3,awop,4,
awe,3,1,awk,2,
awesome,7,4,almsoke,6,
awful,5,4,axtul,6,
awkward,7,6,adewack,5,
ax,2,3,ats,3,
axis,4,5,adir,4,
Aztec,5,5,Aytez,4,
babble,6,5,bammle,5,
babe,4,3,zabe,3,
baboon,6,5,bobeen,5,
baby,4,4,bimy,4,
bachelor,8,7,bachonor,7,
back,4,3,zack,3,
backfield,9,7,bankfiege,8,
backrest,8,7,bankrust,8,
backside,8,6,banksade,7,
backwash,8,6,bankwase,7,
bacon,5,5,bucan,5,
bacteriology,12,12,bactemialamy,12,
bad,3,3,bab,3,
badge,5,3,bodge,3,
badminton,9,8,badmantin,9,
baffle,6,5,bakkle,5,
bag,3,3,bap,3,
bagel,5,5,bumel,5,
baggage,7,5,baddage,5,
baggy,5,4,bammy,4,
bagpipe,7,6,banpope,6,
bail,4,3,blart,5,
bait,4,3,barp,4,
bake,4,3,bope,3,
bakery,6,6,bakeny,6,
balance,7,6,bamades,6,
balcony,7,7,balfony,7,
bald,4,4,barl,4,
ball,4,3,bame,3,
ballad,6,5,bammad,5,
ballerina,9,8,ballorica,8,
ballet,6,4,bammet,5,
balloon,7,5,baggoon,5,
ballot,6,5,barrot,5,
ballroom,8,6,bartreem,7,
balm,4,4,joom,3,
bamboo,6,5,bumbee,5,
ban,3,3,baz,3,
banana,6,6,bameta,6,
band,4,4,beod,4,
bandage,7,6,bindase,6,
bandanna,8,7,bandino,7,
bandit,6,6,bardal,6,
bandstand,9,9,bashstack,7,
bandwagon,9,9,bandwamon,9,
bang,4,3,bamp,4,
banish,6,5,barush,5,
banjo,5,5,binja,5,
bank,4,4,bams,4,
banker,6,6,bonler,6,
bankroll,8,7,bartroke,7,
bankrupt,8,8,bartruch,7,
banner,6,5,bazzer,5,
banquet,7,7,barchet,6,
baptism,7,8,boptasm,8,
baptismal,9,9,baptasnal,9,
baptist,7,7,baltast,7,
baptize,7,6,barlize,6,
bar,3,3,boim,3,
barbarian,9,9,barburoan,9,
barbaric,8,8,barburin,8,
barbecue,8,8,barbocun,8,
barbell,7,6,banbill,6,
barber,6,6,banver,6,
bard,4,4,zard,4,
bargain,7,6,bangail,6,
baritone,8,7,barotane,7,
bark,4,4,burk,4,
barkeeper,9,8,barkeelen,8,
barley,6,5,banlem,6,
barn,4,4,zarn,4,
baron,5,5,benin,5,
barracks,8,6,bannacks,6,
barrel,6,5,baddel,5,
barricade,9,7,barrocase,7,
barrier,7,6,barroet,6,
bartender,9,9,bartinden,9,
base,4,3,baeng,3,
baseball,8,6,banetall,6,
basement,8,7,basedent,7,
bash,4,3,bape,3,
bashful,7,6,bairtul,6,
basic,5,5,buric,5,
basin,5,5,bisun,5,
basis,5,5,bimis,5,
basket,6,6,biskat,6,
bass,4,3,booch,3,
bastard,7,7,bisturp,7,
bat,3,3,bife,3,
batch,5,3,boach,3,
bath,4,3,boith,3,
